========================================================================================================================
VISIBLE CONTROLS: after_click
========================================================================================================================

seq=0001 | title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025' | type='Window' | class='Afx:00007FF6ECF30000:b:0000000000010003:0000000000000006:00000000005A0A61' | auto_id='' | rect={'left': -11, 'top': -11, 'right': 2571, 'bottom': 1539, 'width': 2582, 'height': 1550} | visible=True | enabled=True | source='leap_window' | parent_type='Pane' | parent_title='Desktop 1'
seq=0058 | title='Appurtenance Library' | type='Button' | class='' | auto_id='' | rect={'left': 726, 'top': 77, 'right': 839, 'bottom': 175, 'width': 113, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Library'
seq=0059 | title='Vehicle Library' | type='Button' | class='' | auto_id='' | rect={'left': 839, 'top': 77, 'right': 898, 'bottom': 175, 'width': 59, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Library'
seq=0060 | title='Material Library' | type='Button' | class='' | auto_id='' | rect={'left': 898, 'top': 77, 'right': 965, 'bottom': 175, 'width': 67, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Library'
seq=0062 | title='DTM:' | type='ComboBox' | class='' | auto_id='' | rect={'left': 976, 'top': 77, 'right': 1144, 'bottom': 107, 'width': 168, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Ground'
seq=0065 | title='' | type='ComboBox' | class='' | auto_id='' | rect={'left': 1155, 'top': 77, 'right': 1274, 'bottom': 107, 'width': 119, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Units'
seq=0067 | title='Save DGN' | type='Button' | class='' | auto_id='' | rect={'left': 1285, 'top': 77, 'right': 1343, 'bottom': 175, 'width': 58, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Export'
seq=0069 | title='Input Data' | type='Button' | class='' | auto_id='' | rect={'left': 1354, 'top': 77, 'right': 1412, 'bottom': 175, 'width': 58, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Reports'
seq=0070 | title='Deck Elevation' | type='Button' | class='' | auto_id='' | rect={'left': 1412, 'top': 77, 'right': 1485, 'bottom': 175, 'width': 73, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Reports'
seq=0071 | title='Material Quantities' | type='Button' | class='' | auto_id='' | rect={'left': 1485, 'top': 77, 'right': 1568, 'bottom': 175, 'width': 83, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Reports'
seq=0072 | title='Camber Diagram' | type='Button' | class='' | auto_id='' | rect={'left': 1568, 'top': 77, 'right': 1637, 'bottom': 175, 'width': 69, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Reports'
seq=0073 | title='Analysis Design' | type='SplitButton' | class='' | auto_id='' | rect={'left': 1637, 'top': 77, 'right': 1714, 'bottom': 175, 'width': 77, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Reports'
seq=0075 | title='Tutorials' | type='SplitButton' | class='' | auto_id='' | rect={'left': 1725, 'top': 77, 'right': 1794, 'bottom': 175, 'width': 69, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Help & Tutorials'
seq=0076 | title='Help' | type='Button' | class='' | auto_id='' | rect={'left': 1794, 'top': 77, 'right': 1852, 'bottom': 175, 'width': 58, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Help & Tutorials'
seq=0045 | title='Bridge Definition' | type='CheckBox' | class='' | auto_id='' | rect={'left': 125, 'top': 82, 'right': 285, 'bottom': 111, 'width': 160, 'height': 29} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='View'
seq=0042 | title='Status Bar' | type='CheckBox' | class='' | auto_id='' | rect={'left': 8, 'top': 97, 'right': 117, 'bottom': 126, 'width': 109, 'height': 29} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='View'
seq=0050 | title='Remove Bridge' | type='Button' | class='' | auto_id='' | rect={'left': 299, 'top': 107, 'right': 448, 'bottom': 137, 'width': 149, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Commands'
seq=0055 | title='State Specifications' | type='Text' | class='' | auto_id='' | rect={'left': 521, 'top': 107, 'right': 672, 'bottom': 138, 'width': 151, 'height': 31} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Design Specifications'
seq=0063 | title='View All Bridges' | type='CheckBox' | class='' | auto_id='' | rect={'left': 976, 'top': 107, 'right': 1129, 'bottom': 136, 'width': 153, 'height': 29} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Ground'
